beta_+,beta_self,B*_steady
0.0025375000000000003,0.0009525,4.93818459419
0.003035,5e-05,8.51031176358
0.003035,9.75e-05,8.61088228566
0.003035,0.000145,8.80271598984
0.003035,0.0001925,7.77359728431
0.003035,0.00024,7.60324755081
0.003035,0.000335,7.33137807524
0.003035,0.0003825,7.20375745265
0.003035,0.00043,7.07610666485
0.003035,0.0004775,6.95072892643
0.003035,0.000525,6.83155934685
0.003035,0.0005725,6.71168389634
0.003035,0.00062,6.58659119089
0.003035,0.0006675,6.46901354853
0.003035,0.000715,6.37898068347
0.003035,0.0007625,6.27139126087
0.003035,0.00081,6.17043193947
0.003035,0.0008575,6.07847037142
0.003035,0.000905,5.96747360522
0.003035,0.0009525,5.87988058276
0.0035325,5e-05,9.93640207816
0.0035325,9.75e-05,10.1109032156
0.0035325,0.000145,10.2183171739
0.0035325,0.0001925,9.0415560144
0.0035325,0.00024,8.85635854495
0.0035325,0.0002875,8.6954259901
0.0035325,0.000335,8.52359899961
0.0035325,0.0003825,8.33971824069
0.0035325,0.00043,8.20061993803
0.0035325,0.0004775,8.05175071464
0.0035325,0.000525,7.91291188658
0.0035325,0.0005725,7.77819409407
0.0035325,0.00062,7.63204192228
0.0035325,0.0006675,7.51221783528
0.0035325,0.000715,7.38809450895
0.0035325,0.0007625,7.26262077482
0.0035325,0.00081,7.1382629271
0.0035325,0.0008575,7.02032890944
0.0035325,0.000905,6.90954432494
0.0035325,0.0009525,6.8011478248
0.00403,5e-05,11.3788118301
0.00403,9.75e-05,11.5945935977
0.00403,0.000145,10.5055764054
0.00403,0.0001925,10.3282012069
0.00403,0.00024,10.1295521978
0.00403,0.0002875,9.93730755177
0.00403,0.000335,9.74399875897
0.00403,0.0003825,9.56513959002
0.00403,0.00043,9.39255009446
0.00403,0.0004775,9.21983025594
0.00403,0.000525,9.05014232736
0.00403,0.0005725,8.91299996659
0.00403,0.00062,8.76392799819
0.00403,0.0006675,8.59744438322
0.00403,0.000715,8.46738000129
0.00403,0.0007625,8.33333768794
0.00403,0.00081,8.19862596501
0.00403,0.0008575,8.05364952304
0.00403,0.000905,7.93273979928
0.00403,0.0009525,7.81536574871
0.004527499999999999,5e-05,12.7336555467
0.004527499999999999,9.75e-05,12.985309832
0.004527499999999999,0.000145,11.8151907773
0.004527499999999999,0.0001925,11.5824727376
0.004527499999999999,0.00024,11.3584443821
0.004527499999999999,0.0002875,11.1498413113
0.004527499999999999,0.000335,10.9294613766
0.004527499999999999,0.0003825,10.7364813217
0.004527499999999999,0.00043,10.5278223296
0.004527499999999999,0.0004775,10.3531649888
0.004527499999999999,0.000525,10.1595896622
0.004527499999999999,0.0005725,9.99061627652
0.004527499999999999,0.00062,9.8033216847
0.004527499999999999,0.0006675,9.64907032872
0.004527499999999999,0.000715,9.47781513859
0.004527499999999999,0.0007625,9.33240358579
0.004527499999999999,0.00081,9.18342244697
0.004527499999999999,0.0008575,9.05475289973
0.004527499999999999,0.000905,8.91028617437
0.004527499999999999,0.0009525,8.76567832853
0.005025,5e-05,13.9826220769
0.005025,9.75e-05,14.0511352056
0.005025,0.000145,12.9096064966
0.005025,0.0001925,12.6439713837
0.005025,0.00024,12.4419339123
0.005025,0.0002875,12.2021404007
0.005025,0.000335,11.9666899086
0.005025,0.0003825,11.7710463035
0.005025,0.00043,11.5653549755
0.005025,0.0004775,11.3027307257
0.005025,0.000525,11.1815825073
0.005025,0.0005725,10.9405313334
0.005025,0.00062,10.7718379547
0.005025,0.0006675,10.6212658335
0.005025,0.000715,10.4258606992
0.005025,0.0007625,10.1559488981
0.005025,0.00081,10.0603025059
0.005025,0.0008575,9.9340506806
0.005025,0.000905,9.75775933149
0.005025,0.0009525,9.63204630358
0.0055225,5e-05,15.5015442403
0.0055225,9.75e-05,14.5895842822
0.0055225,0.000145,14.3137478196
0.0055225,0.0001925,14.0104255416
0.0055225,0.00024,13.7619869647
0.0055225,0.0002875,13.5124069611
0.0055225,0.000335,13.2520729658
0.0055225,0.0003825,12.9944589821
0.0055225,0.00043,12.765231922
0.0055225,0.0004775,12.5241615328
0.0055225,0.000525,12.333950443
0.0055225,0.0005725,12.08995363
0.0055225,0.00062,11.9152003961
0.0055225,0.0006675,11.6858609046
0.0055225,0.000715,11.4883763181
0.0055225,0.0007625,11.3302481555
0.0055225,0.00081,11.1480775015
0.0055225,0.0008575,10.9667011608
0.0055225,0.000905,10.8012749155
0.0055225,0.0009525,10.5911512114
0.006019999999999999,5e-05,16.899329949
0.006019999999999999,9.75e-05,15.8704649367
