"[A*] dc 0.4 nu0.15"	"[B*] dc 0.4 nu0.15"	"[A*] dc 0.4 nu0.15 t4350"	"[B*] dc 0.4 nu0.15 t4350"	"[A*] dc 0.5 nu0.15"	"[B*] dc 0.5 nu0.15"	"[A*] dc 0.75 nu0.15"	"[B*] dc 0.75 nu0.15"
1.77	0.0163	1.92	0.576	1.3	5.28	1.15	5.72
1.77	0.0163	1.92	0.574	1.3	5.28	1.15	5.72
1.76	0.0162	1.91	0.571	1.3	5.28	1.15	5.72
1.76	0.0161	1.91	0.569	1.3	5.28	1.14	5.72
1.76	0.016	1.91	0.566	1.3	5.28	1.14	5.71
1.75	0.016	1.9	0.564	1.29	5.28	1.14	5.71
1.75	0.0159	1.9	0.561	1.29	5.27	1.14	5.71
1.75	0.0158	1.9	0.559	1.29	5.27	1.14	5.71
1.75	0.0158	1.89	0.556	1.29	5.27	1.13	5.71
1.74	0.0157	1.89	0.554	1.29	5.27	1.13	5.7
1.74	0.0156	1.89	0.551	1.28	5.27	1.13	5.7
1.74	0.0155	1.88	0.549	1.28	5.27	1.13	5.7
1.73	0.0155	1.88	0.546	1.28	5.27	1.13	5.7
1.73	0.0154	1.88	0.544	1.28	5.27	1.12	5.7
1.73	0.0153	1.87	0.541	1.27	5.26	1.12	5.69
1.73	0.0153	1.87	0.539	1.27	5.26	1.12	5.69
1.72	0.0152	1.87	0.536	1.27	5.26	1.12	5.69
1.72	0.0151	1.87	0.534	1.27	5.26	1.12	5.69
1.72	0.0151	1.86	0.532	1.27	5.26	1.12	5.69
1.71	0.015	1.86	0.529	1.26	5.26	1.11	5.68
1.71	0.0149	1.86	0.527	1.26	5.26	1.11	5.68
1.71	0.0149	1.85	0.524	1.26	5.26	1.11	5.68
1.71	0.0148	1.85	0.522	1.26	5.25	1.11	5.68
1.7	0.0147	1.85	0.52	1.26	5.25	1.11	5.68
1.7	0.0147	1.84	0.517	1.25	5.25	1.1	5.68
1.7	0.0146	1.84	0.515	1.25	5.25	1.1	5.67
1.69	0.0145	1.84	0.513	1.25	5.25	1.1	5.67
1.69	0.0145	1.83	0.51	1.25	5.25	1.1	5.67
1.69	0.0144	1.83	0.508	1.25	5.25	1.1	5.67
1.69	0.0143	1.83	0.506	1.24	5.25	1.1	5.67
1.68	0.0143	1.83	0.504	1.24	5.25	1.09	5.66
1.68	0.0142	1.82	0.501	1.24	5.24	1.09	5.66
1.68	0.0141	1.82	0.499	1.24	5.24	1.09	5.66
1.67	0.0141	1.82	0.497	1.24	5.24	1.09	5.66
1.67	0.014	1.81	0.495	1.23	5.24	1.09	5.66
1.67	0.014	1.81	0.492	1.23	5.24	1.08	5.66
1.67	0.0139	1.81	0.49	1.23	5.24	1.08	5.65
1.66	0.0138	1.8	0.488	1.23	5.24	1.08	5.65
1.66	0.0138	1.8	0.486	1.22	5.24	1.08	5.65
1.66	0.0137	1.8	0.484	1.22	5.24	1.08	5.65
1.65	0.0136	1.8	0.481	1.22	5.23	1.08	5.65
1.65	0.0136	1.79	0.479	1.22	5.23	1.07	5.64
1.65	0.0135	1.79	0.477	1.22	5.23	1.07	5.64
1.65	0.0135	1.79	0.475	1.21	5.23	1.07	5.64
1.64	0.0134	1.78	0.473	1.21	5.23	1.07	5.64
1.64	0.0133	1.78	0.471	1.21	5.23	1.07	5.64
1.64	0.0133	1.78	0.469	1.21	5.23	1.06	5.64
1.64	0.0132	1.77	0.466	1.21	5.23	1.06	5.63
1.63	0.0132	1.77	0.464	1.2	5.23	1.06	5.63
1.63	0.0131	1.77	0.462	1.2	5.23	1.06	5.63
1.63	0.013	1.77	0.46	1.2	5.22	1.06	5.63
1.62	0.013	1.76	0.458	1.2	5.22	1.06	5.63
1.62	0.0129	1.76	0.456	1.2	5.22	1.05	5.63
1.62	0.0129	1.76	0.454	1.19	5.22	1.05	5.62
1.62	0.0128	1.75	0.452	1.19	5.22	1.05	5.62
1.61	0.0128	1.75	0.45	1.19	5.22	1.05	5.62
1.61	0.0127	1.75	0.448	1.19	5.22	1.05	5.62
1.61	0.0126	1.75	0.446	1.19	5.22	1.05	5.62
1.61	0.0126	1.74	0.444	1.18	5.22	1.04	5.62
1.6	0.0125	1.74	0.442	1.18	5.22	1.04	5.61
1.6	0.0125	1.74	0.44	1.18	5.22	1.04	5.61
1.6	0.0124	1.73	0.438	1.18	5.21	1.04	5.61
1.6	0.0124	1.73	0.436	1.18	5.21	1.04	5.61
1.59	0.0123	1.73	0.434	1.17	5.21	1.03	5.61
1.59	0.0122	1.72	0.432	1.17	5.21	1.03	5.61
1.59	0.0122	1.72	0.43	1.17	5.21	1.03	5.6
1.58	0.0121	1.72	0.428	1.17	5.21	1.03	5.6
1.58	0.0121	1.72	0.426	1.17	5.21	1.03	5.6
1.58	0.012	1.71	0.424	1.17	5.21	1.03	5.6
1.58	0.012	1.71	0.422	1.16	5.21	1.02	5.6
1.57	0.0119	1.71	0.421	1.16	5.21	1.02	5.6
1.57	0.0119	1.7	0.419	1.16	5.21	1.02	5.59
1.57	0.0118	1.7	0.417	1.16	5.2	1.02	5.59
1.57	0.0118	1.7	0.415	1.16	5.2	1.02	5.59
1.56	0.0117	1.7	0.413	1.15	5.2	1.02	5.59
1.56	0.0117	1.69	0.411	1.15	5.2	1.01	5.59
1.56	0.0116	1.69	0.409	1.15	5.2	1.01	5.59
1.56	0.0116	1.69	0.407	1.15	5.2	1.01	5.59
1.55	0.0115	1.69	0.406	1.15	5.2	1.01	5.58
1.55	0.0114	1.68	0.404	1.14	5.2	1.01	5.58
1.55	0.0114	1.68	0.402	1.14	5.2	1.01	5.58
1.55	0.0113	1.68	0.4	1.14	5.2	1	5.58
1.54	0.0113	1.67	0.398	1.14	5.2	1	5.58
1.54	0.0112	1.67	0.397	1.14	5.2	1	5.58
1.54	0.0112	1.67	0.395	1.13	5.19	0.999	5.57
1.54	0.0111	1.67	0.393	1.13	5.19	0.998	5.57
1.53	0.0111	1.66	0.391	1.13	5.19	0.996	5.57
1.53	0.011	1.66	0.39	1.13	5.19	0.994	5.57
1.53	0.011	1.66	0.388	1.13	5.19	0.993	5.57
1.53	0.0109	1.65	0.386	1.13	5.19	0.991	5.57
1.52	0.0109	1.65	0.384	1.12	5.19	0.989	5.57
1.52	0.0108	1.65	0.383	1.12	5.19	0.988	5.56
1.52	0.0108	1.65	0.381	1.12	5.19	0.986	5.56
1.52	0.0107	1.64	0.379	1.12	5.19	0.984	5.56
1.51	0.0107	1.64	0.377	1.12	5.19	0.983	5.56
1.51	0.0107	1.64	0.376	1.11	5.19	0.981	5.56
1.51	0.0106	1.64	0.374	1.11	5.19	0.979	5.56
1.51	0.0106	1.63	0.372	1.11	5.18	0.978	5.56
1.5	0.0105	1.63	0.371	1.11	5.18	0.976	5.55
1.5	0.0105	1.63	0.369	1.11	5.18	0.975	5.55
1.5	0.0104	1.62	0.367	1.1	5.18	0.973	5.55
1.5	0.0104	1.62	0.366	1.1	5.18	0.971	5.55
1.49	0.0103	1.62	0.364	1.1	5.18	0.97	5.55
1.49	0.0103	1.62	0.362	1.1	5.18	0.968	5.55
1.49	0.0102	1.61	0.361	1.1	5.18	0.966	5.55
1.49	0.0102	1.61	0.359	1.1	5.18	0.965	5.54
1.48	0.0101	1.61	0.358	1.09	5.18	0.963	5.54
1.48	0.0101	1.61	0.356	1.09	5.18	0.962	5.54
1.48	0.01	1.6	0.354	1.09	5.18	0.96	5.54
1.48	0.01	1.6	0.353	1.09	5.18	0.958	5.54
1.47	0.00996	1.6	0.351	1.09	5.18	0.957	5.54
1.47	0.00991	1.59	0.35	1.08	5.17	0.955	5.54
1.47	0.00987	1.59	0.348	1.08	5.17	0.954	5.54
1.47	0.00982	1.59	0.346	1.08	5.17	0.952	5.53
1.46	0.00978	1.59	0.345	1.08	5.17	0.951	5.53
1.46	0.00973	1.58	0.343	1.08	5.17	0.949	5.53
1.46	0.00969	1.58	0.342	1.08	5.17	0.947	5.53
1.46	0.00965	1.58	0.34	1.07	5.17	0.946	5.53
1.45	0.0096	1.58	0.339	1.07	5.17	0.944	5.53
1.45	0.00956	1.57	0.337	1.07	5.17	0.943	5.53
1.45	0.00952	1.57	0.336	1.07	5.17	0.941	5.52
1.45	0.00947	1.57	0.334	1.07	5.17	0.939	5.52
1.44	0.00943	1.57	0.333	1.06	5.17	0.938	5.52
1.44	0.00939	1.56	0.331	1.06	5.17	0.936	5.52
1.44	0.00935	1.56	0.33	1.06	5.17	0.935	5.52
1.44	0.0093	1.56	0.328	1.06	5.17	0.933	5.52
1.43	0.00926	1.56	0.327	1.06	5.16	0.932	5.52
1.43	0.00922	1.55	0.325	1.06	5.16	0.93	5.52
1.43	0.00918	1.55	0.324	1.05	5.16	0.929	5.51
1.43	0.00914	1.55	0.322	1.05	5.16	0.927	5.51
1.42	0.0091	1.55	0.321	1.05	5.16	0.926	5.51
1.42	0.00906	1.54	0.319	1.05	5.16	0.924	5.51
1.42	0.00902	1.54	0.318	1.05	5.16	0.922	5.51
1.42	0.00898	1.54	0.317	1.05	5.16	0.921	5.51
1.42	0.00894	1.53	0.315	1.04	5.16	0.919	5.51
1.41	0.00889	1.53	0.314	1.04	5.16	0.918	5.51
1.41	0.00885	1.53	0.312	1.04	5.16	0.916	5.5
1.41	0.00882	1.53	0.311	1.04	5.16	0.915	5.5
1.41	0.00878	1.52	0.31	1.04	5.16	0.913	5.5
1.4	0.00874	1.52	0.308	1.04	5.16	0.912	5.5
1.4	0.0087	1.52	0.307	1.03	5.16	0.91	5.5
1.4	0.00866	1.52	0.305	1.03	5.16	0.909	5.5
1.4	0.00862	1.51	0.304	1.03	5.16	0.907	5.5
1.39	0.00858	1.51	0.303	1.03	5.15	0.906	5.5
1.39	0.00854	1.51	0.301	1.03	5.15	0.904	5.49
1.39	0.0085	1.51	0.3	1.02	5.15	0.903	5.49
1.39	0.00846	1.5	0.299	1.02	5.15	0.901	5.49
1.38	0.00843	1.5	0.297	1.02	5.15	0.9	5.49
1.38	0.00839	1.5	0.296	1.02	5.15	0.898	5.49
1.38	0.00835	1.5	0.295	1.02	5.15	0.897	5.49
1.38	0.00831	1.49	0.293	1.02	5.15	0.895	5.49
1.38	0.00828	1.49	0.292	1.01	5.15	0.894	5.49
1.37	0.00824	1.49	0.291	1.01	5.15	0.892	5.48
1.37	0.0082	1.49	0.289	1.01	5.15	0.891	5.48
1.37	0.00817	1.48	0.288	1.01	5.15	0.889	5.48
1.37	0.00813	1.48	0.287	1.01	5.15	0.888	5.48
1.36	0.00809	1.48	0.285	1.01	5.15	0.886	5.48
1.36	0.00806	1.48	0.284	1	5.15	0.885	5.48
1.36	0.00802	1.47	0.283	1	5.15	0.883	5.48
1.36	0.00798	1.47	0.282	1	5.15	0.882	5.48
1.36	0.00795	1.47	0.28	1	5.15	0.88	5.48
1.35	0.00791	1.47	0.279	0.998	5.14	0.879	5.47
1.35	0.00788	1.47	0.278	0.996	5.14	0.877	5.47
1.35	0.00784	1.46	0.277	0.995	5.14	0.876	5.47
1.35	0.00781	1.46	0.275	0.993	5.14	0.875	5.47
1.34	0.00777	1.46	0.274	0.991	5.14	0.873	5.47
1.34	0.00774	1.46	0.273	0.99	5.14	0.872	5.47
1.34	0.0077	1.45	0.272	0.988	5.14	0.87	5.47
1.34	0.00767	1.45	0.27	0.986	5.14	0.869	5.47
1.33	0.00763	1.45	0.269	0.985	5.14	0.867	5.46
1.33	0.0076	1.45	0.268	0.983	5.14	0.866	5.46
1.33	0.00756	1.44	0.267	0.981	5.14	0.864	5.46
1.33	0.00753	1.44	0.266	0.98	5.14	0.863	5.46
1.33	0.0075	1.44	0.264	0.978	5.14	0.862	5.46
1.32	0.00746	1.44	0.263	0.976	5.14	0.86	5.46
1.32	0.00743	1.43	0.262	0.975	5.14	0.859	5.46
1.32	0.00739	1.43	0.261	0.973	5.14	0.857	5.46
1.32	0.00736	1.43	0.26	0.972	5.14	0.856	5.46
1.32	0.00733	1.43	0.259	0.97	5.14	0.854	5.46
1.31	0.0073	1.42	0.257	0.968	5.14	0.853	5.45
1.31	0.00726	1.42	0.256	0.967	5.14	0.852	5.45
1.31	0.00723	1.42	0.255	0.965	5.13	0.85	5.45
1.31	0.0072	1.42	0.254	0.964	5.13	0.849	5.45
1.3	0.00717	1.41	0.253	0.962	5.13	0.847	5.45
1.3	0.00713	1.41	0.252	0.96	5.13	0.846	5.45
1.3	0.0071	1.41	0.251	0.959	5.13	0.844	5.45
1.3	0.00707	1.41	0.249	0.957	5.13	0.843	5.45
1.3	0.00704	1.41	0.248	0.956	5.13	0.842	5.45
1.29	0.00701	1.4	0.247	0.954	5.13	0.84	5.44
1.29	0.00697	1.4	0.246	0.952	5.13	0.839	5.44
1.29	0.00694	1.4	0.245	0.951	5.13	0.837	5.44
1.29	0.00691	1.4	0.244	0.949	5.13	0.836	5.44
1.28	0.00688	1.39	0.243	0.948	5.13	0.835	5.44
1.28	0.00685	1.39	0.242	0.946	5.13	0.833	5.44
1.28	0.00682	1.39	0.241	0.944	5.13	0.832	5.44
1.28	0.00679	1.39	0.239	0.943	5.13	0.831	5.44
1.28	0.00676	1.38	0.238	0.941	5.13	0.829	5.44
1.27	0.00673	1.38	0.237	0.94	5.13	0.828	5.44
1.27	0.0067	1.38	0.236	0.938	5.13	0.826	5.43
1.27	0.00667	1.38	0.235	0.937	5.13	0.825	5.43
1.27	0.00664	1.38	0.234	0.935	5.13	0.824	5.43
1.27	0.00661	1.37	0.233	0.934	5.13	0.822	5.43
1.26	0.00658	1.37	0.232	0.932	5.13	0.821	5.43
1.26	0.00655	1.37	0.231	0.93	5.13	0.82	5.43
1.26	0.00652	1.37	0.23	0.929	5.12	0.818	5.43
1.26	0.00649	1.36	0.229	0.927	5.12	0.817	5.43
1.26	0.00646	1.36	0.228	0.926	5.12	0.815	5.43
1.25	0.00643	1.36	0.227	0.924	5.12	0.814	5.42
1.25	0.0064	1.36	0.226	0.923	5.12	0.813	5.42
1.25	0.00637	1.35	0.225	0.921	5.12	0.811	5.42
1.25	0.00634	1.35	0.224	0.92	5.12	0.81	5.42
1.24	0.00632	1.35	0.223	0.918	5.12	0.809	5.42
1.24	0.00629	1.35	0.222	0.917	5.12	0.807	5.42
1.24	0.00626	1.35	0.221	0.915	5.12	0.806	5.42
1.24	0.00623	1.34	0.22	0.914	5.12	0.805	5.42
1.24	0.0062	1.34	0.219	0.912	5.12	0.803	5.42
1.23	0.00618	1.34	0.218	0.91	5.12	0.802	5.42
1.23	0.00615	1.34	0.217	0.909	5.12	0.801	5.42
1.23	0.00612	1.33	0.216	0.907	5.12	0.799	5.41
1.23	0.00609	1.33	0.215	0.906	5.12	0.798	5.41
1.23	0.00607	1.33	0.214	0.904	5.12	0.797	5.41
1.22	0.00604	1.33	0.213	0.903	5.12	0.795	5.41
1.22	0.00601	1.33	0.212	0.901	5.12	0.794	5.41
1.22	0.00598	1.32	0.211	0.9	5.12	0.793	5.41
1.22	0.00596	1.32	0.21	0.898	5.12	0.791	5.41
1.22	0.00593	1.32	0.209	0.897	5.12	0.79	5.41
1.21	0.0059	1.32	0.208	0.895	5.12	0.789	5.41
1.21	0.00588	1.31	0.207	0.894	5.12	0.787	5.41
1.21	0.00585	1.31	0.206	0.892	5.12	0.786	5.4
1.21	0.00582	1.31	0.205	0.891	5.12	0.785	5.4
1.21	0.0058	1.31	0.205	0.889	5.11	0.783	5.4
1.2	0.00577	1.31	0.204	0.888	5.11	0.782	5.4
1.2	0.00575	1.3	0.203	0.887	5.11	0.781	5.4
1.2	0.00572	1.3	0.202	0.885	5.11	0.78	5.4
1.2	0.00569	1.3	0.201	0.884	5.11	0.778	5.4
1.2	0.00567	1.3	0.2	0.882	5.11	0.777	5.4
1.19	0.00564	1.3	0.199	0.881	5.11	0.776	5.4
1.19	0.00562	1.29	0.198	0.879	5.11	0.774	5.4
1.19	0.00559	1.29	0.197	0.878	5.11	0.773	5.4
1.19	0.00557	1.29	0.196	0.876	5.11	0.772	5.39
1.19	0.00554	1.29	0.196	0.875	5.11	0.771	5.39
1.18	0.00552	1.28	0.195	0.873	5.11	0.769	5.39
1.18	0.00549	1.28	0.194	0.872	5.11	0.768	5.39
1.18	0.00547	1.28	0.193	0.87	5.11	0.767	5.39
1.18	0.00544	1.28	0.192	0.869	5.11	0.765	5.39
1.18	0.00542	1.28	0.191	0.868	5.11	0.764	5.39
1.17	0.0054	1.27	0.19	0.866	5.11	0.763	5.39
1.17	0.00537	1.27	0.189	0.865	5.11	0.762	5.39
1.17	0.00535	1.27	0.189	0.863	5.11	0.76	5.39
1.17	0.00532	1.27	0.188	0.862	5.11	0.759	5.39
1.17	0.0053	1.27	0.187	0.86	5.11	0.758	5.38
1.16	0.00527	1.26	0.186	0.859	5.11	0.757	5.38
1.16	0.00525	1.26	0.185	0.857	5.11	0.755	5.38
1.16	0.00523	1.26	0.184	0.856	5.11	0.754	5.38
1.16	0.0052	1.26	0.184	0.855	5.11	0.753	5.38
1.16	0.00518	1.25	0.183	0.853	5.11	0.752	5.38
