"[A*] dc 0.4 nu0.15"	"[B*] dc 0.4 nu0.15"	"[A*] dc 0.4 nu0.15 t4350"	"[B*] dc 0.4 nu0.15 t4350"	"[A*] dc 0.5 nu0.15"	"[B*] dc 0.5 nu0.15"	"[A*] dc 0.75 nu0.15"	"[B*] dc 0.75 nu0.15"
0.823	1.77e-023	0.823	1.77e-023	1.71	6.35e-014	2.91	0.817
0.831	1.76e-023	0.831	1.76e-023	1.73	9.5e-014	2.94	1.32
0.839	1.75e-023	0.839	1.75e-023	1.75	1.66e-013	2.96	2.34
0.846	1.74e-023	0.846	1.74e-023	1.76	2.81e-013	2.98	3.76
0.852	1.74e-023	0.852	1.74e-023	1.78	4.02e-013	3	5.29
0.857	1.73e-023	0.857	1.73e-023	1.8	5.71e-013	3.02	7.1
0.862	1.72e-023	0.862	1.72e-023	1.81	7.98e-013	3.03	8.47
0.866	1.71e-023	0.866	1.71e-023	1.83	1.27e-012	3.05	9.52
0.87	1.71e-023	0.87	1.71e-023	1.85	2.06e-012	3.06	10.4
0.873	1.7e-023	0.873	1.7e-023	1.86	2.79e-012	3.07	11
0.876	1.69e-023	0.876	1.69e-023	1.88	5.55e-012	3.08	11.4
0.878	1.68e-023	0.878	1.68e-023	1.89	9.44e-012	3.09	11.9
0.88	1.68e-023	0.88	1.68e-023	1.91	1.18e-011	3.09	12.2
0.881	1.67e-023	0.881	1.67e-023	1.93	1.46e-011	3.1	12.3
0.883	1.66e-023	0.883	1.66e-023	1.94	2.2e-011	3.1	12.5
0.884	3.5e-023	0.884	3.5e-023	1.96	3.01e-011	3.11	12.5
0.887	6.95e-023	0.887	6.95e-023	1.97	4.95e-011	3.11	12.6
0.891	9.03e-023	0.891	9.03e-023	1.99	7.04e-011	3.11	12.7
0.895	1.16e-022	0.895	1.16e-022	2	9.76e-011	3.11	12.7
0.9	1.6e-022	0.9	1.6e-022	2.01	1.56e-010	3.11	12.8
0.905	1.59e-022	0.905	1.59e-022	2.03	2.12e-010	3.11	12.9
0.91	2.01e-022	0.91	2.01e-022	2.04	3e-010	3.11	12.9
0.916	2.61e-022	0.916	2.61e-022	2.06	4.72e-010	3.11	13
0.922	2.6e-022	0.922	2.6e-022	2.07	7.27e-010	3.11	13
0.928	3.31e-022	0.928	3.31e-022	2.09	1.06e-009	3.11	13
0.934	3.58e-022	0.934	3.58e-022	2.1	1.57e-009	3.11	13.1
0.94	3.56e-022	0.94	3.56e-022	2.12	2.35e-009	3.1	13.1
0.945	3.54e-022	0.945	3.54e-022	2.13	3.29e-009	3.1	13.2
0.949	3.53e-022	0.949	3.53e-022	2.15	3.69e-009	3.1	13.2
0.953	3.51e-022	0.953	3.51e-022	2.16	5.01e-009	3.1	13.3
0.956	3.5e-022	0.956	3.5e-022	2.17	7.99e-009	3.09	13.3
0.96	4.62e-022	0.96	4.62e-022	2.19	1.27e-008	3.09	13.4
0.964	7.7e-022	0.964	7.7e-022	2.2	2.3e-008	3.09	13.4
0.97	1.03e-021	0.97	1.03e-021	2.22	2.79e-008	3.08	13.5
0.976	1.21e-021	0.976	1.21e-021	2.23	2.78e-008	3.08	13.5
0.983	1.39e-021	0.983	1.39e-021	2.24	2.9e-008	3.07	13.5
0.99	1.63e-021	0.99	1.63e-021	2.26	5.5e-008	3.07	13.6
0.997	1.9e-021	0.997	1.9e-021	2.27	7.96e-008	3.07	13.6
1	2.29e-021	1	2.29e-021	2.28	1.13e-007	3.06	13.7
1.01	2.96e-021	1.01	2.96e-021	2.29	1.77e-007	3.06	13.7
1.02	2.95e-021	1.02	2.95e-021	2.31	2.8e-007	3.05	13.8
1.03	3.18e-021	1.03	3.18e-021	2.32	3.73e-007	3.05	13.8
1.03	4.25e-021	1.03	4.25e-021	2.33	5.42e-007	3.04	13.9
1.04	5.04e-021	1.04	5.04e-021	2.35	6.81e-007	3.04	13.9
1.05	6.53e-021	1.05	6.53e-021	2.36	7.71e-007	3.04	13.9
1.06	8.26e-021	1.06	8.26e-021	2.37	0.00000118	3.03	14
1.07	9.69e-021	1.07	9.69e-021	2.38	0.00000152	3.03	14
1.07	1.27e-020	1.07	1.27e-020	2.39	0.00000273	3.02	14
1.08	1.57e-020	1.08	1.57e-020	2.41	0.00000298	3.02	14.1
1.09	1.84e-020	1.09	1.84e-020	2.42	0.00000385	3.01	14.1
1.1	2.49e-020	1.1	2.49e-020	2.43	0.0000058	3.01	14.1
1.11	3.03e-020	1.11	3.03e-020	2.44	0.000008	3	14.2
1.12	3.63e-020	1.12	3.63e-020	2.45	0.00000809	3	14.2
1.13	5.02e-020	1.13	5.02e-020	2.47	0.000013	2.99	14.2
1.14	6.03e-020	1.14	6.03e-020	2.48	0.0000213	2.99	14.3
1.15	7.46e-020	1.15	7.46e-020	2.49	0.0000263	2.98	14.3
1.16	1.03e-019	1.16	1.03e-019	2.5	0.0000328	2.98	14.3
1.17	1.24e-019	1.17	1.24e-019	2.51	0.0000338	2.97	14.3
1.18	1.58e-019	1.18	1.58e-019	2.52	0.0000337	2.97	14.4
1.19	2.16e-019	1.19	2.16e-019	2.53	0.000049	2.96	14.4
1.2	2.6e-019	1.2	2.6e-019	2.54	0.000068	2.96	14.4
1.21	3.45e-019	1.21	3.45e-019	2.55	0.0000992	2.95	14.4
1.22	4.61e-019	1.22	4.61e-019	2.56	0.000146	2.95	14.4
1.23	4.59e-019	1.23	4.59e-019	2.57	0.000145	2.95	14.4
1.24	6.61e-019	1.24	6.61e-019	2.57	0.000212	2.94	14.4
1.25	8.88e-019	1.25	8.88e-019	2.58	0.000237	2.94	14.4
1.26	1.09e-018	1.26	1.09e-018	2.59	0.000306	2.93	14.4
1.27	1.56e-018	1.27	1.56e-018	2.6	0.00044	2.93	14.4
1.28	1.63e-018	1.28	1.63e-018	2.61	0.000694	2.92	14.4
1.29	2.05e-018	1.29	2.05e-018	2.62	0.000827	2.92	14.4
1.3	3.09e-018	1.3	3.09e-018	2.63	0.00113	2.91	14.3
1.31	3.16e-018	1.31	3.16e-018	2.64	0.00118	2.91	14.3
1.32	3.15e-018	1.32	3.15e-018	2.65	0.0015	2.9	14.3
1.33	3.13e-018	1.33	3.13e-018	2.66	0.00214	2.9	14.3
1.33	3.12e-018	1.33	3.12e-018	2.67	0.00272	2.89	14.2
1.34	3.1e-018	1.34	3.1e-018	2.68	0.00286	2.89	14.2
1.35	3.09e-018	1.35	3.09e-018	2.69	0.00419	2.88	14.2
1.35	3.08e-018	1.35	3.08e-018	2.7	0.00526	2.88	14.2
1.35	3.06e-018	1.35	3.06e-018	2.71	0.00691	2.87	14.1
1.36	3.05e-018	1.36	3.05e-018	2.72	0.00788	2.87	14.1
1.36	3.03e-018	1.36	3.03e-018	2.73	0.00785	2.86	14.1
1.36	3.02e-018	1.36	3.02e-018	2.74	0.0114	2.86	14
1.36	3.01e-018	1.36	3.01e-018	2.74	0.0163	2.85	14
1.36	2.99e-018	1.36	2.99e-018	2.75	0.02	2.85	13.9
1.36	2.98e-018	1.36	2.98e-018	2.76	0.02	2.84	13.9
1.37	2.97e-018	1.37	2.97e-018	2.77	0.0259	2.84	13.9
1.37	2.95e-018	1.37	2.95e-018	2.78	0.0327	2.84	13.8
1.37	2.94e-018	1.37	2.94e-018	2.78	0.0406	2.83	13.8
1.37	5.96e-018	1.37	5.96e-018	2.79	0.0404	2.83	13.7
1.37	9.21e-018	1.37	9.21e-018	2.8	0.0402	2.82	13.7
1.37	1.52e-017	1.37	1.52e-017	2.8	0.0401	2.82	13.6
1.37	1.88e-017	1.37	1.88e-017	2.81	0.0556	2.81	13.6
1.38	2.32e-017	1.38	2.32e-017	2.81	0.0753	2.81	13.5
1.38	3.05e-017	1.38	3.05e-017	2.82	0.109	2.8	13.5
1.39	3.51e-017	1.39	3.51e-017	2.82	0.135	2.8	13.4
1.39	4.2e-017	1.39	4.2e-017	2.83	0.142	2.79	13.4
1.4	4.56e-017	1.4	4.56e-017	2.84	0.194	2.79	13.3
1.4	4.54e-017	1.4	4.54e-017	2.84	0.231	2.78	13.3
1.41	5.29e-017	1.41	5.29e-017	2.85	0.289	2.78	13.2
1.41	5.27e-017	1.41	5.27e-017	2.86	0.318	2.77	13.2
1.42	6.25e-017	1.42	6.25e-017	2.86	0.378	2.77	13.1
1.42	8.05e-017	1.42	8.05e-017	2.87	0.484	2.77	13.1
1.43	9.84e-017	1.43	9.84e-017	2.88	0.614	2.76	13
1.43	1.13e-016	1.43	1.13e-016	2.89	0.611	2.76	13
1.44	1.43e-016	1.44	1.43e-016	2.89	0.807	2.75	12.9
1.45	1.69e-016	1.45	1.69e-016	2.9	1.01	2.75	12.9
1.45	1.68e-016	1.45	1.68e-016	2.91	1.01	2.74	12.8
1.46	2.22e-016	1.46	2.22e-016	2.92	1.2	2.74	12.8
1.47	2.61e-016	1.47	2.61e-016	2.92	1.45	2.73	12.8
1.47	3.07e-016	1.47	3.07e-016	2.93	1.76	2.73	12.7
1.48	4.01e-016	1.48	4.01e-016	2.94	2.3	2.72	12.7
1.49	4.62e-016	1.49	4.62e-016	2.94	2.36	2.72	12.6
1.5	6.74e-016	1.5	6.74e-016	2.95	2.88	2.72	12.6
1.51	8.39e-016	1.51	8.39e-016	2.96	3.7	2.71	12.5
1.52	9.6e-016	1.52	9.6e-016	2.96	3.75	2.71	12.5
1.53	9.56e-016	1.53	9.56e-016	2.97	4.49	2.7	12.4
1.54	9.52e-016	1.54	9.52e-016	2.97	4.87	2.7	12.4
1.54	9.47e-016	1.54	9.47e-016	2.98	5.45	2.69	12.3
1.55	9.43e-016	1.55	9.43e-016	2.98	5.7	2.69	12.3
1.56	9.39e-016	1.56	9.39e-016	2.98	6.57	2.68	12.2
1.56	9.35e-016	1.56	9.35e-016	2.98	6.55	2.68	12.2
1.56	9.3e-016	1.56	9.3e-016	2.98	7.06	2.67	12.1
1.57	9.26e-016	1.57	9.26e-016	2.98	7.53	2.67	12.1
1.57	9.22e-016	1.57	9.22e-016	2.98	7.95	2.67	12.1
1.57	9.18e-016	1.57	9.18e-016	2.98	8.19	2.66	12
1.57	9.14e-016	1.57	9.14e-016	2.98	8.68	2.66	12
1.58	9.1e-016	1.58	9.1e-016	2.98	8.65	2.65	11.9
1.58	9.06e-016	1.58	9.06e-016	2.98	8.61	2.65	11.9
1.58	9.01e-016	1.58	9.01e-016	2.97	8.91	2.64	11.8
1.58	1.02e-015	1.58	1.02e-015	2.97	8.88	2.64	11.8
1.58	1.5e-015	1.58	1.5e-015	2.97	8.84	2.63	11.8
1.58	1.49e-015	1.58	1.49e-015	2.97	9.08	2.63	11.7
1.58	1.48e-015	1.58	1.48e-015	2.96	9.29	2.63	11.7
1.58	1.48e-015	1.58	1.48e-015	2.96	9.26	2.62	11.6
1.58	1.47e-015	1.58	1.47e-015	2.96	9.43	2.62	11.6
1.58	1.46e-015	1.58	1.46e-015	2.95	9.64	2.61	11.5
1.58	1.46e-015	1.58	1.46e-015	2.95	9.86	2.61	11.5
1.58	2.06e-015	1.58	2.06e-015	2.95	9.82	2.6	11.5
1.58	2.43e-015	1.58	2.43e-015	2.94	9.98	2.6	11.4
1.58	3.28e-015	1.58	3.28e-015	2.94	10.1	2.6	11.4
1.58	3.9e-015	1.58	3.9e-015	2.93	10.2	2.59	11.3
1.58	4.54e-015	1.58	4.54e-015	2.93	10.3	2.59	11.3
1.59	4.52e-015	1.59	4.52e-015	2.93	10.4	2.58	11.3
1.59	5.25e-015	1.59	5.25e-015	2.92	10.4	2.58	11.2
1.59	6.73e-015	1.59	6.73e-015	2.92	10.5	2.57	11.2
1.59	7.7e-015	1.59	7.7e-015	2.91	10.5	2.57	11.1
1.6	8.75e-015	1.6	8.75e-015	2.91	10.5	2.57	11.1
1.6	1.08e-014	1.6	1.08e-014	2.9	10.5	2.56	11.1
1.61	1.07e-014	1.61	1.07e-014	2.9	10.6	2.56	11
1.61	1.24e-014	1.61	1.24e-014	2.89	10.6	2.55	11
1.62	1.35e-014	1.62	1.35e-014	2.89	10.6	2.55	11
1.62	1.34e-014	1.62	1.34e-014	2.89	10.5	2.54	10.9
1.63	1.62e-014	1.63	1.62e-014	2.88	10.6	2.54	10.9
1.63	1.99e-014	1.63	1.99e-014	2.88	10.6	2.54	10.8
1.64	2.24e-014	1.64	2.24e-014	2.87	10.6	2.53	10.8
1.65	2.71e-014	1.65	2.71e-014	2.87	10.6	2.53	10.8
1.65	3.23e-014	1.65	3.23e-014	2.86	10.5	2.52	10.7
1.66	3.64e-014	1.66	3.64e-014	2.86	10.5	2.52	10.7
1.67	4.49e-014	1.67	4.49e-014	2.85	10.5	2.51	10.7
1.67	5.3e-014	1.67	5.3e-014	2.85	10.5	2.51	10.6
1.68	6.02e-014	1.68	6.02e-014	2.84	10.5	2.51	10.6
1.69	5.99e-014	1.69	5.99e-014	2.84	10.4	2.5	10.6
1.7	7.07e-014	1.7	7.07e-014	2.84	10.4	2.5	10.5
1.7	8.38e-014	1.7	8.38e-014	2.83	10.4	2.49	10.5
1.71	1.12e-013	1.71	1.12e-013	2.83	10.4	2.49	10.5
1.72	1.31e-013	1.72	1.31e-013	2.82	10.3	2.49	10.4
1.73	1.31e-013	1.73	1.31e-013	2.82	10.3	2.48	10.4
1.73	1.3e-013	1.73	1.3e-013	2.81	10.3	2.48	10.4
1.74	1.29e-013	1.74	1.29e-013	2.81	10.2	2.47	10.3
1.74	1.29e-013	1.74	1.29e-013	2.8	10.2	2.47	10.3
1.75	1.28e-013	1.75	1.28e-013	2.8	10.2	2.47	10.3
1.75	1.28e-013	1.75	1.28e-013	2.79	10.1	2.46	10.2
1.75	1.27e-013	1.75	1.27e-013	2.79	10.1	2.46	10.2
1.75	1.27e-013	1.75	1.27e-013	2.78	10.1	2.45	10.2
1.75	1.26e-013	1.75	1.26e-013	2.78	10	2.45	10.1
1.76	1.25e-013	1.76	1.25e-013	2.78	9.99	2.44	10.1
1.76	1.25e-013	1.76	1.25e-013	2.77	9.96	2.44	10.1
1.76	1.24e-013	1.76	1.24e-013	2.77	9.93	2.44	10
1.76	1.24e-013	1.76	1.24e-013	2.76	9.89	2.43	10
1.76	1.23e-013	1.76	1.23e-013	2.76	9.86	2.43	9.99
1.76	1.23e-013	1.76	1.23e-013	2.75	9.82	2.42	9.96
1.76	1.22e-013	1.76	1.22e-013	2.75	9.79	2.42	9.93
1.76	1.22e-013	1.76	1.22e-013	2.74	9.75	2.42	9.9
1.76	1.72e-013	1.76	1.72e-013	2.74	9.72	2.41	9.87
1.76	2.22e-013	1.76	2.22e-013	2.73	9.69	2.41	9.84
1.76	2.72e-013	1.76	2.72e-013	2.73	9.66	2.4	9.81
1.76	3.37e-013	1.76	3.37e-013	2.72	9.62	2.4	9.78
1.76	4.32e-013	1.76	4.32e-013	2.72	9.59	2.4	9.75
1.76	4.89e-013	1.76	4.89e-013	2.72	9.56	2.39	9.73
1.77	5.77e-013	1.77	5.77e-013	2.71	9.53	2.39	9.7
1.77	6.89e-013	1.77	6.89e-013	2.71	9.5	2.38	9.67
1.78	7.67e-013	1.78	7.67e-013	2.7	9.46	2.38	9.64
1.78	9.04e-013	1.78	9.04e-013	2.7	9.43	2.38	9.62
1.79	1.05e-012	1.79	1.05e-012	2.69	9.4	2.37	9.59
1.79	1.17e-012	1.79	1.17e-012	2.69	9.37	2.37	9.56
1.8	1.41e-012	1.8	1.41e-012	2.68	9.34	2.36	9.53
1.81	1.63e-012	1.81	1.63e-012	2.68	9.3	2.36	9.51
1.81	1.83e-012	1.81	1.83e-012	2.68	9.27	2.36	9.48
1.82	1.82e-012	1.82	1.82e-012	2.67	9.24	2.35	9.45
1.83	1.81e-012	1.83	1.81e-012	2.67	9.21	2.35	9.43
1.83	2.15e-012	1.83	2.15e-012	2.66	9.18	2.34	9.4
1.84	2.85e-012	1.84	2.85e-012	2.66	9.15	2.34	9.38
1.85	3.31e-012	1.85	3.31e-012	2.65	9.12	2.34	9.35
1.85	3.92e-012	1.85	3.92e-012	2.65	9.09	2.33	9.33
1.86	5.02e-012	1.86	5.02e-012	2.64	9.06	2.33	9.3
1.87	5.75e-012	1.87	5.75e-012	2.64	9.03	2.33	9.28
1.87	6.91e-012	1.87	6.91e-012	2.64	9	2.32	9.25
1.88	8.69e-012	1.88	8.69e-012	2.63	8.97	2.32	9.23
1.89	9.98e-012	1.89	9.98e-012	2.63	8.95	2.31	9.2
1.9	1.48e-011	1.9	1.48e-011	2.62	8.92	2.31	9.18
1.91	1.87e-011	1.91	1.87e-011	2.62	8.89	2.31	9.15
1.92	2.4e-011	1.92	2.4e-011	2.61	8.86	2.3	9.13
1.93	2.39e-011	1.93	2.39e-011	2.61	8.83	2.3	9.11
1.94	2.38e-011	1.94	2.38e-011	2.61	8.8	2.29	9.08
1.95	2.37e-011	1.95	2.37e-011	2.6	8.78	2.29	9.06
1.95	2.88e-011	1.95	2.88e-011	2.6	8.75	2.29	9.04
1.96	3.84e-011	1.96	3.84e-011	2.59	8.72	2.28	9.01
1.97	4.73e-011	1.97	4.73e-011	2.59	8.69	2.28	8.99
