"Time [s]"	[A]	[A*]	[B]	[B*]	[A]1	[A*]1	[B]1	[B*]1
0	0	0	12.5	0				
6	0.0209	0.000649	12.5	7.3e-033				
12	0.0406	0.00215	12.5	1.48e-032				
18	0.0594	0.00446	12.5	2.27e-032				
24	0.0757	0.00751	12.5	3.05e-032				
30	0.1	0.0117	12.5	4.32e-032				
36	0.113	0.0167	12.5	5.2e-032				
42	0.135	0.0225	12.5	6.82e-032				
48	0.145	0.0291	12.5	7.97e-032				
54	0.155	0.0362	12.5	9.31e-032				
60.1	0.164	0.0438	12.5	1.09e-031				
66.1	0.183	0.0519	12.5	1.42e-031				
72.1	0.197	0.0608	12.5	1.75e-031				
78.1	0.207	0.07	12.5	2.12e-031				
84.1	0.215	0.0796	12.5	2.57e-031				
90.1	0.221	0.0894	12.5	3.09e-031				
96.1	0.227	0.0995	12.5	3.76e-031				
102	0.232	0.11	12.5	4.6e-031				
108	0.237	0.121	12.5	5.67e-031				
114	0.242	0.131	12.5	7.04e-031				
120	0.246	0.142	12.5	8.81e-031				
126	0.253	0.154	12.5	1.15e-030				
132	0.266	0.165	12.5	1.65e-030				
138	0.278	0.177	12.5	2.3e-030				
144	0.283	0.189	12.5	3.01e-030				
150	0.286	0.202	12.5	3.86e-030				
156	0.299	0.215	12.5	5.68e-030				
162	0.301	0.228	12.5	7.23e-030				
168	0.303	0.241	12.5	9.34e-030				
174	0.304	0.254	12.5	1.22e-029				
180	0.306	0.267	12.5	1.61e-029				
186	0.309	0.28	12.5	2.22e-029				
192	0.314	0.294	12.5	3.15e-029				
198	0.321	0.307	12.5	4.68e-029				
204	0.333	0.321	12.5	7.25e-029				
210	0.345	0.335	12.5	1.09e-028				
216	0.356	0.35	12.5	1.62e-028				
222	0.367	0.365	12.5	2.38e-028				
228	0.376	0.381	12.5	3.51e-028				
234	0.386	0.397	12.5	5.19e-028				
240	0.395	0.413	12.5	7.7e-028				
246	0.404	0.43	12.5	1.15e-027				
252	0.412	0.447	12.5	1.73e-027				
258	0.42	0.464	12.5	2.62e-027				
264	0.427	0.482	12.5	3.99e-027				
270	0.434	0.499	12.5	6.12e-027				
276	0.441	0.517	12.5	9.45e-027				
282	0.447	0.535	12.5	1.47e-026				
288	0.454	0.554	12.5	2.3e-026				
294	0.46	0.572	12.5	3.61e-026				
300	0.465	0.591	12.5	5.71e-026				
306	0.471	0.61	12.5	9.06e-026				
312	0.476	0.629	12.5	1.45e-025				
318	0.481	0.648	12.5	2.31e-025				
324	0.486	0.667	12.5	3.72e-025				
330	0.491	0.687	12.5	6e-025				
336	0.484	0.706	12.5	8.38e-025				
342	0.478	0.725	12.5	1.21e-024				
348	0.484	0.744	12.5	2.15e-024				
354	0.478	0.762	12.5	3.04e-024				
360	0.472	0.78	12.5	4.39e-024				
366	0.478	0.799	12.5	8.16e-024				
372	0.477	0.817	12.5	1.25e-023				
378	0.479	0.835	12.5	2.06e-023				
384	0.485	0.853	12.5	3.5e-023				
390	0.48	0.871	12.5	5.04e-023				
396	0.486	0.889	12.5	8.61e-023				
402	0.481	0.906	12.5	1.21e-022				
408	0.476	0.924	12.5	1.74e-022				
414	0.472	0.941	12.5	2.54e-022				
420	0.467	0.958	12.5	3.71e-022				
426	0.464	0.975	12.5	5.6e-022				
432	0.464	0.991	12.5	8.88e-022				
438	0.464	1.01	12.5	1.4e-021				
444	0.464	1.02	12.5	2.21e-021				
450	0.461	1.04	12.5	3.29e-021				
456	0.47	1.06	12.5	5.67e-021				
462	0.478	1.07	12.5	9.24e-021				
468	0.485	1.09	12.5	1.46e-020				
474	0.481	1.11	12.5	1.95e-020				
480	0.477	1.12	12.5	2.66e-020				
486	0.475	1.14	12.5	3.77e-020				
492	0.474	1.15	12.5	5.68e-020				
498	0.475	1.17	12.5	8.67e-020				
504	0.475	1.19	12.5	1.33e-019				
511	0.473	1.2	12.5	1.95e-019				
517	0.482	1.22	12.5	3.29e-019				
523	0.479	1.23	12.5	4.53e-019				
529	0.487	1.25	12.5	7.46e-019				
535	0.495	1.26	12.5	1.18e-018				
541	0.503	1.28	12.5	1.84e-018				
547	0.51	1.3	12.5	2.82e-018				
553	0.517	1.31	12.5	4.33e-018				
559	0.524	1.33	12.5	6.62e-018				
565	0.53	1.35	12.5	1.01e-017				
571	0.537	1.37	12.5	1.56e-017				
577	0.542	1.38	12.5	2.41e-017				
583	0.548	1.4	12.5	3.73e-017				
589	0.542	1.42	12.5	4.99e-017				
595	0.548	1.44	12.5	8.19e-017				
601	0.554	1.45	12.5	1.32e-016				
607	0.559	1.47	12.5	2.09e-016				
613	0.564	1.49	12.5	3.31e-016				
619	0.569	1.51	12.5	5.24e-016				
625	0.574	1.53	12.5	8.27e-016				
631	0.579	1.55	12.5	1.31e-015				
637	0.583	1.56	12.5	2.08e-015				
643	0.587	1.58	12.5	3.31e-015				
649	0.58	1.6	12.5	4.5e-015				
655	0.574	1.62	12.5	6.33e-015				
661	0.579	1.64	12.5	1.11e-014				
667	0.572	1.66	12.5	1.53e-014				
673	0.57	1.67	12.5	2.32e-014				
679	0.567	1.69	12.5	3.61e-014				
685	0.565	1.71	12.5	5.67e-014				
691	0.562	1.72	12.5	8.68e-014				
697	0.557	1.74	12.5	1.28e-013				
703	0.553	1.76	12.5	1.89e-013				
709	0.549	1.77	12.5	2.77e-013				
715	0.545	1.79	12.5	4.03e-013				
721	0.553	1.8	12.5	7.15e-013				
727	0.549	1.82	12.5	9.74e-013				
733	0.548	1.83	12.5	1.43e-012				
739	0.548	1.85	12.5	2.14e-012				
745	0.548	1.86	12.5	3.22e-012				
751	0.547	1.88	12.5	4.74e-012				
757	0.544	1.89	12.5	6.74e-012				
763	0.541	1.91	12.5	9.55e-012				
769	0.539	1.92	12.5	1.35e-011				
775	0.548	1.94	12.5	2.26e-011				
781	0.556	1.95	12.5	3.58e-011				
787	0.553	1.97	12.5	4.67e-011				
793	0.561	1.98	12.5	7.46e-011				
799	0.564	2	12.5	1.06e-010				
805	0.564	2.01	12.5	1.5e-010				
811	0.563	2.03	12.5	2.12e-010				
817	0.56	2.04	12.5	2.93e-010				
823	0.557	2.06	12.5	4.06e-010				
829	0.566	2.07	12.5	6.62e-010				
835	0.574	2.09	12.5	1.03e-009				
841	0.571	2.1	12.5	1.35e-009				
847	0.567	2.12	12.5	1.79e-009				
853	0.567	2.13	12.5	2.53e-009				
859	0.573	2.14	12.5	4.04e-009				
865	0.581	2.16	12.5	6.38e-009				
871	0.589	2.17	12.5	9.79e-009				
877	0.597	2.19	12.5	1.48e-008				
883	0.593	2.21	12.5	1.94e-008				
889	0.589	2.22	12.5	2.61e-008				
895	0.597	2.24	12.5	4.16e-008				
901	0.604	2.25	12.5	6.44e-008				
907	0.611	2.27	12.5	9.8e-008				
913	0.618	2.28	12.5	1.48e-007				
919	0.624	2.3	12.5	2.22e-007				
925	0.628	2.31	12.5	3.2e-007				
931	0.625	2.33	12.5	4.45e-007				
937	0.621	2.35	12.5	6.07e-007				
943	0.616	2.36	12.5	8.41e-007				
949	0.612	2.38	12.5	0.00000118				
955	0.619	2.39	12.5	0.00000196				
961	0.626	2.41	12.5	0.00000312				
967	0.633	2.42	12.5	0.00000482				
973	0.639	2.44	12.5	0.00000736				
979	0.646	2.46	12.5	0.0000112				
985	0.651	2.47	12.5	0.0000168				
991	0.657	2.49	12.5	0.0000254				
997	0.651	2.51	12.5	0.0000339				
1000	0.657	2.52	12.5	0.0000534				
1010	0.663	2.54	12.5	0.0000828				
1020	0.668	2.55	12.5	0.000127				
1020	0.662	2.57	12.5	0.000167				
1030	0.667	2.59	12.5	0.000269				
1030	0.663	2.6	12.5	0.000364				
1040	0.66	2.62	12.5	0.000524				
1050	0.658	2.64	12.5	0.000775				
1050	0.656	2.65	12.5	0.00116				
1060	0.652	2.67	12.5	0.00166				
1060	0.647	2.68	12.5	0.00237				
1070	0.643	2.7	12.5	0.00337				
1080	0.639	2.71	12.5	0.00477				
1080	0.647	2.73	12.5	0.00809				
1090	0.643	2.74	12.5	0.0109				
1090	0.64	2.76	12.5	0.015				
1100	0.64	2.77	12.5	0.0219				
1110	0.64	2.78	12.5	0.032				
1110	0.64	2.8	12.5	0.0469				
1120	0.638	2.81	12.4	0.0656				
1120	0.635	2.82	12.4	0.0907				
1130	0.632	2.84	12.4	0.125				
1140	0.63	2.85	12.3	0.172				
1140	0.628	2.86	12.3	0.235				
1150	0.625	2.88	12.2	0.319				
1150	0.624	2.89	12.1	0.439				
1160	0.626	2.9	11.9	0.626				
1170	0.627	2.92	11.6	0.887				
1170	0.629	2.93	11.3	1.25				
1180	0.628	2.94	10.8	1.67				
1180	0.627	2.95	10.3	2.18				
1190	0.625	2.97	9.71	2.81				
1200	0.612	2.98	8.97	3.56				
1200	0.593	2.99	8.14	4.4				
1210	0.576	3	7.97	4.58				
1210	0.56	3.01	7.77	4.79				
1220	0.545	3.02	7.39	5.18				
1230	0.531	3.02	7.41	5.17				
1230	0.518	3.03	7.43	5.17				
1240	0.505	3.04	7.45	5.16				
1240	0.493	3.04	7.47	5.15				
1250	0.482	3.05	7.49	5.15				
1260	0.472	3.05	7.51	5.14				
1260	0.462	3.06	7.52	5.13				
1270	0.453	3.06	7.54	5.13				
1270	0.445	3.06	7.56	5.12				
1280	0.437	3.07	7.58	5.12				
1290	0.429	3.07	7.6	5.11				
1290	0.422	3.07	7.61	5.1				
1300	0.415	3.07	7.63	5.1				
1300	0.409	3.07	7.65	5.09				
1310	0.403	3.07	7.67	5.08				
1320	0.397	3.08	7.69	5.08				
1320	0.392	3.08	7.7	5.07				
1330	0.387	3.08	7.72	5.07				
1330	0.383	3.08	7.74	5.06				
1340	0.378	3.08	7.76	5.05				
1350	0.374	3.08	7.77	5.05				
1350	0.37	3.07	7.79	5.04				
1360	0.367	3.07	7.31	5.53				
1360	0.363	3.07	6.87	5.99				
1370	0.36	3.07	6.45	6.42				
1380	0.357	3.07	6.48	6.41				
1380	0.354	3.07	6.5	6.4				
1390	0.351	3.07	6.53	6.38				
1390	0.349	3.07	6.54	6.39				
1400	0.346	3.06	6.17	6.78				
1410	0.344	3.06	5.81	7.15				
1410	0.342	3.06	5.47	7.5				
1420	0.34	3.06	5.16	7.83				
1420	0.338	3.06	5.2	7.82				
1430	0.336	3.05	5.23	7.8				
1440	0.334	3.05	5.26	7.78				
1440	0.332	3.05	5.3	7.77				
1450	0.331	3.05	5.33	7.75				
1450	0.329	3.05	5.37	7.73				
1460	0.328	3.04	5.4	7.71				
1470	0.326	3.04	5.43	7.7				
1470	0.325	3.04	5.47	7.68				
1480	0.324	3.03	5.5	7.67				
1480	0.323	3.03	5.53	7.65				
1490	0.321	3.03	5.57	7.63				
1500	0.32	3.03	5.6	7.62				
1500	0.319	3.02	5.63	7.6				
1510	0.318	3.02	5.67	7.58				
1510	0.317	3.02	5.7	7.57				
1520	0.316	3.02	5.73	7.55				
1530	0.316	3.01	5.76	7.54				
1530	0.315	3.01	5.79	7.52				
1540	0.314	3.01	5.83	7.51				
1540	0.313	3	5.86	7.49				
1550	0.312	3	5.89	7.47				
1560	0.312	3	5.92	7.46				
1560	0.311	2.99	5.95	7.44				
1570	0.31	2.99	5.98	7.43				
1570	0.31	2.99	5.97	7.46				
1580	0.309	2.99	5.81	7.63				
1590	0.308	2.98	5.84	7.62				
1590	0.308	2.98	5.87	7.6				
1600	0.307	2.98	5.9	7.58				
1600	0.307	2.97	5.76	7.75				
1610	0.306	2.97	5.79	7.73				
1620	0.306	2.97	5.82	7.72				
1620	0.305	2.96	5.85	7.7				
1630	0.304	2.96	5.88	7.69				
1630	0.304	2.96	5.92	7.67				
1640	0.303	2.95	5.95	7.65				
1650	0.303	2.95	5.86	7.75				
1650	0.303	2.95	5.9	7.74				
1660	0.302	2.94	5.83	7.82				
1660	0.302	2.94	5.77	7.89				
1670	0.301	2.94	5.8	7.88				
1680	0.301	2.93	5.76	7.94				
1680	0.3	2.93	5.72	7.99				
1690	0.3	2.93	5.76	7.97				
1690	0.299	2.93	5.79	7.96				
1700	0.299	2.92	5.82	7.94				
1710	0.299	2.92	5.86	7.92				
1710	0.298	2.92	5.89	7.9				
1720	0.298	2.91	5.92	7.89				
1720	0.297	2.91	5.95	7.87				
1730	0.297	2.91	5.99	7.86				
1740	0.297	2.9	6.02	7.84				
1740	0.296	2.9	6.05	7.82				
1750	0.296	2.9	6.08	7.81				
1750	0.296	2.89	6.11	7.79				
1760	0.295	2.89	6.14	7.77				
1770	0.295	2.89	6.18	7.76				
1770	0.294	2.88	6.21	7.74				
1780	0.294	2.88	6.24	7.73				
1780	0.294	2.88	6.27	7.71				
1790	0.293	2.87	6.3	7.7				
1800	0.293	2.87	6.33	7.68				
1800	0.293	2.87	6.36	7.66				
1810	0.292	2.87	6.39	7.65				
1810	0.292	2.86	6.42	7.63				
1820	0.292	2.86	6.45	7.62				
1830	0.291	2.86	6.48	7.6				
1830	0.291	2.85	6.51	7.59				
1840	0.291	2.85	6.54	7.57				
1840	0.29	2.85	6.57	7.56				
1850	0.29	2.84	6.6	7.54				
1860	0.29	2.84	6.62	7.53				
1860	0.289	2.84	6.65	7.51				
1870	0.289	2.83	6.68	7.5				
1870	0.289	2.83	6.71	7.49				
1880	0.288	2.83	6.74	7.47				
1890	0.288	2.82	6.77	7.46				
1890	0.288	2.82	6.79	7.44				
1900	0.287	2.82	6.82	7.43				
1900	0.287	2.81	6.85	7.41				
1910	0.287	2.81	6.88	7.4				
1920	0.286	2.81	6.9	7.39				
1920	0.286	2.81	6.93	7.37				
1930	0.286	2.8	6.96	7.36				
1930	0.285	2.8	6.99	7.35				
1940	0.285	2.8	7.01	7.33				
1950	0.285	2.79	7.04	7.32				
1950	0.284	2.79	7.07	7.3				
1960	0.284	2.79	7.09	7.29				
1960	0.284	2.78	7.12	7.28				
1970	0.283	2.78	7.14	7.26				
1980	0.283	2.78	7.17	7.25				
1980	0.283	2.77	7.2	7.24				
1990	0.282	2.77	7.22	7.23				
1990	0.282	2.77	7.25	7.21				
2000	0.282	2.77	7.27	7.2				
2010	0.281	2.76	7.3	7.19				
2010	0.281	2.76	7.32	7.17				
2020	0.281	2.76	7.35	7.16				
2020	0.281	2.75	7.37	7.15				
2030	0.28	2.75	7.4	7.14				
2040	0.28	2.75	7.42	7.12				
2040	0.28	2.74	7.45	7.11				
2050	0.279	2.74	7.47	7.1				
2050	0.279	2.74	7.5	7.09				
2060	0.279	2.73	7.52	7.07				
2070	0.278	2.73	7.55	7.06				
2070	0.278	2.73	7.57	7.05				
2080	0.278	2.73	7.59	7.04				
2080	0.277	2.72	7.62	7.03				
2090	0.277	2.72	7.64	7.01				
2100	0.277	2.72	7.66	7				
2100	0.276	2.71	7.69	6.99				
2110	0.276	2.71	7.71	6.98				
2110	0.276	2.71	7.73	6.97				
2120	0.276	2.7	7.76	6.96				
2130	0.275	2.7	7.78	6.94				
2130	0.275	2.7	7.8	6.93				
2140	0.275	2.7	7.83	6.92				
2140	0.274	2.69	7.85	6.91				
2150	0.274	2.69	7.87	6.9				
2160	0.274	2.69	7.89	6.89				
2160	0.273	2.68	7.92	6.88				
2170	0.273	2.68	7.94	6.86				
2170	0.273	2.68	7.96	6.85				
2180	0.273	2.67	7.98	6.84				
2190	0.272	2.67	8	6.83				
2190	0.272	2.67	8.02	6.82				
2200	0.272	2.67	8.05	6.81				
2200	0.271	2.66	8.07	6.8				
2210	0.271	2.66	8.09	6.79				
2220	0.271	2.66	8.11	6.78				
2220	0.27	2.65	8.13	6.77				
2230	0.27	2.65	8.15	6.76				
2230	0.27	2.65	8.17	6.75				
2240	0.27	2.65	8.19	6.74				
2250	0.269	2.64	8.21	6.73				
2250	0.269	2.64	8.24	6.72				
2260	0.269	2.64	8.26	6.7				
2260	0.268	2.63	8.28	6.69				
2270	0.268	2.63	8.3	6.68				
2280	0.268	2.63	8.32	6.67				
2280	0.267	2.62	8.34	6.66				
2290	0.267	2.62	8.36	6.65				
2290	0.267	2.62	8.38	6.64				
2300	0.267	2.62	8.4	6.63				
2310	0.266	2.61	8.42	6.62				
2310	0.266	2.61	8.44	6.62				
2320	0.266	2.61	8.45	6.61				
2320	0.265	2.6	8.47	6.6				
2330	0.265	2.6	8.49	6.59				
2340	0.265	2.6	8.51	6.58				
2340	0.264	2.6	8.53	6.57				
2350	0.264	2.59	8.55	6.56				
2350	0.264	2.59	8.57	6.55				
2360	0.264	2.59	8.59	6.54				
2370	0.263	2.58	8.61	6.53				
2370	0.263	2.58	8.63	6.52				
2380	0.263	2.58	8.64	6.51				
2380	0.262	2.58	8.66	6.5				
2390	0.262	2.57	8.68	6.49				
2400	0.262	2.57	8.7	6.48				
2400	0.262	2.57	8.72	6.47				
2410	0.261	2.56	8.73	6.47				
2410	0.261	2.56	8.75	6.46				
2420	0.261	2.56	8.77	6.45				
2430	0.26	2.56	8.79	6.44				
2430	0.26	2.55	8.81	6.43				
2440	0.26	2.55	8.82	6.42				
2440	0.26	2.55	8.84	6.41				
2450	0.259	2.54	8.86	6.4				
2460	0.259	2.54	8.88	6.4				
2460	0.259	2.54	8.89	6.39				
2470	0.258	2.54	8.91	6.38				
2470	0.258	2.53	8.93	6.37				
2480	0.258	2.53	8.94	6.36				
2490	0.258	2.53	8.96	6.35				
2490	0.257	2.52	8.98	6.35				
2500	0.257	2.52	8.99	6.34				
2500	0.257	2.52	9.01	6.33				
2510	0.256	2.52	9.03	6.32				
2520	0.256	2.51	9.04	6.31				
2520	0.256	2.51	9.06	6.3				
2530	0.256	2.51	9.08	6.3				
2530	0.255	2.51	9.09	6.29				
2540	0.255	2.5	9.11	6.28				
2550	0.255	2.5	9.12	6.27				
2550	0.254	2.5	9.14	6.27				
2560	0.254	2.49	9.16	6.26				
2560	0.254	2.49	9.17	6.25				
2570	0.254	2.49	9.19	6.24				
2580	0.253	2.49	9.2	6.23				
2580	0.253	2.48	9.22	6.23				
2590	0.253	2.48	9.23	6.22				
2590	0.252	2.48	9.25	6.21				
2600	0.252	2.47	9.27	6.2				
2610	0.252	2.47	9.28	6.2				
2610	0.252	2.47	9.3	6.19				
2620	0.251	2.47	9.31	6.18				
2620	0.251	2.46	9.33	6.17				
2630	0.251	2.46	9.34	6.17				
2640	0.25	2.46	9.36	6.16				
2640	0.25	2.46	9.37	6.15				
2650	0.25	2.45	9.39	6.15				
2650	0.25	2.45	9.4	6.14				
2660	0.249	2.45	9.41	6.13				
2670	0.249	2.44	9.43	6.12				
2670	0.249	2.44	9.44	6.12				
2680	0.249	2.44	9.46	6.11				
2680	0.248	2.44	9.47	6.1				
2690	0.248	2.43	9.49	6.1				
2700	0.248	2.43	9.5	6.09				
2700	0.247	2.43	9.51	6.08				
2710	0.247	2.43	9.53	6.08				
2710	0.247	2.42	9.54	6.07				
2720	0.247	2.42	9.56	6.06				
2730	0.246	2.42	9.57	6.06				
2730	0.246	2.41	9.58	6.05				
2740	0.246	2.41	9.6	6.04				
2740	0.245	2.41	9.61	6.04				
2750	0.245	2.41	9.62	6.03				
2760	0.245	2.4	9.64	6.02				
2760	0.245	2.4	9.65	6.02				
2770	0.244	2.4	9.66	6.01				
2770	0.244	2.4	9.68	6				
2780	0.244	2.39	9.69	6				
2790	0.244	2.39	9.7	5.99				
2790	0.243	2.39	9.72	5.98				
2800	0.243	2.39	9.73	5.98				
2800	0.243	2.38	9.74	5.97				
2810	0.243	2.38	9.76	5.96				
2820	0.242	2.38	9.77	5.96				
2820	0.242	2.37	9.78	5.95				
2830	0.242	2.37	9.79	5.95				
2830	0.241	2.37	9.81	5.94				
2840	0.241	2.37	9.82	5.93				
2850	0.241	2.36	9.83	5.93				
2850	0.241	2.36	9.84	5.92				
2860	0.24	2.36	9.86	5.92				
2860	0.24	2.36	9.87	5.91				
2870	0.24	2.35	9.88	5.9				
2880	0.24	2.35	9.89	5.9				
2880	0.239	2.35	9.9	5.89				
2890	0.239	2.35	9.92	5.89				
2890	0.239	2.34	9.93	5.88				
2900	0.239	2.34	9.94	5.88				
2910	0.238	2.34	9.95	5.87				
2910	0.238	2.34	9.96	5.86				
2920	0.238	2.33	9.98	5.86				
2920	0.237	2.33	9.99	5.85				
2930	0.237	2.33	10	5.85				
2940	0.237	2.33	10	5.84				
2940	0.237	2.32	10	5.84				
2950	0.236	2.32	10	5.83				
2950	0.236	2.32	10	5.83				
2960	0.236	2.32	10.1	5.82				
2970	0.236	2.31	10.1	5.81				
2970	0.235	2.31	10.1	5.81				
2980	0.235	2.31	10.1	5.8				
2980	0.235	2.3	10.1	5.8				
2990	0.235	2.3	10.1	5.79				
3000	0.234	2.3	10.1	5.79				
3000	0.234	2.3	10.1	5.78				
3010	0.234	2.29	10.1	5.78				
3020	0.234	2.29	10.2	5.77				
3020	0.233	2.29	10.2	5.77				
3030	0.233	2.29	10.2	5.76				
3030	0.233	2.28	10.2	5.76				
3040	0.232	2.28	10.2	5.75				
3050	0.232	2.28	10.2	5.75				
3050	0.232	2.28	10.2	5.74				
3060	0.232	2.27	10.2	5.74				
3060	0.231	2.27	10.2	5.73				
3070	0.231	2.27	10.2	5.73				
3080	0.231	2.27	10.3	5.72				
3080	0.231	2.26	10.3	5.72				
3090	0.23	2.26	10.3	5.71				
3090	0.23	2.26	10.3	5.71				
3100	0.23	2.26	10.3	5.7				
3110	0.23	2.25	10.3	5.7				
3110	0.229	2.25	10.3	5.69				
3120	0.229	2.25	10.3	5.69				
3120	0.229	2.25	10.3	5.68				
3130	0.229	2.24	10.3	5.68				
3140	0.228	2.24	10.4	5.68				
3140	0.228	2.24	10.4	5.67				
3150	0.228	2.24	10.4	5.67				
3150	0.228	2.23	10.4	5.66				
3160	0.227	2.23	10.4	5.66				
3170	0.227	2.23	10.4	5.65				
3170	0.227	2.23	10.4	5.65				
3180	0.227	2.22	10.4	5.64				
3180	0.226	2.22	10.4	5.64				
3190	0.226	2.22	10.4	5.64				
3200	0.226	2.22	10.5	5.63				
3200	0.226	2.21	10.5	5.63				
3210	0.225	2.21	10.5	5.62				
3210	0.225	2.21	10.5	5.62				
3220	0.225	2.21	10.5	5.61				
3230	0.225	2.2	10.5	5.61				
3230	0.224	2.2	10.5	5.61				
3240	0.224	2.2	10.5	5.6				
3240	0.224	2.2	10.5	5.6				
3250	0.224	2.19	10.5	5.59				
3260	0.223	2.19	10.5	5.59				
3260	0.223	2.19	10.6	5.58				
3270	0.223	2.19	10.6	5.58				
3270	0.223	2.19	10.6	5.58				
3280	0.222	2.18	10.6	5.57				
3290	0.222	2.18	10.6	5.57				
3290	0.222	2.18	10.6	5.56				
3300	0.222	2.18	10.6	5.56				
3300	0.221	2.17	10.6	5.56				
3310	0.221	2.17	10.6	5.55				
3320	0.221	2.17	10.6	5.55				
3320	0.221	2.17	10.6	5.54				
3330	0.22	2.16	10.6	5.54				
3330	0.22	2.16	10.7	5.54				
3340	0.22	2.16	10.7	5.53				
3350	0.22	2.16	10.7	5.53				
3350	0.219	2.15	10.7	5.53				
3360	0.219	2.15	10.7	5.52				
3360	0.219	2.15	10.7	5.52				
3370	0.219	2.15	10.7	5.51				
3380	0.218	2.14	10.7	5.51				
3380	0.218	2.14	10.7	5.51				
3390	0.218	2.14	10.7	5.5				
3390	0.218	2.14	10.7	5.5				
3400	0.218	2.13	10.7	5.5				
3410	0.217	2.13	10.8	5.49				
3410	0.217	2.13	10.8	5.49				
3420	0.217	2.13	10.8	5.49				
3420	0.217	2.13	10.8	5.48				
3430	0.216	2.12	10.8	5.48				
3440	0.216	2.12	10.8	5.47				
3440	0.216	2.12	10.8	5.47				
3450	0.216	2.12	10.8	5.47				
3450	0.215	2.11	10.8	5.46				
3460	0.215	2.11	10.8	5.46				
3470	0.215	2.11	10.8	5.46				
3470	0.215	2.11	10.8	5.45				
3480	0.214	2.1	10.8	5.45				
3480	0.214	2.1	10.9	5.45				
3490	0.214	2.1	10.9	5.44				
3500	0.214	2.1	10.9	5.44				
3500	0.213	2.09	10.9	5.44				
3510	0.213	2.09	10.9	5.43				
3510	0.213	2.09	10.9	5.43				
3520	0.213	2.09	10.9	5.43				
3530	0.212	2.09	10.9	5.42				
3530	0.212	2.08	10.9	5.42				
3540	0.212	2.08	10.9	5.42				
3540	0.212	2.08	10.9	5.42				
3550	0.212	2.08	10.9	5.41				
3560	0.211	2.07	10.9	5.41				
3560	0.211	2.07	10.9	5.41				
3570	0.211	2.07	10.9	5.4				
3570	0.211	2.07	11	5.4				
3580	0.21	2.06	11	5.4				
3590	0.21	2.06	11	5.39				
3590	0.21	2.06	11	5.39				
3600	0.21	2.06	11	5.39				
3600	0.209	2.06	11	5.38				
3610	0.209	2.05	11	5.38				
3620	0.209	2.05	11	5.38				
3620	0.209	2.05	11	5.38				
3630	0.209	2.05	11	5.37				
3630	0.208	2.04	11	5.37				
3640	0.208	2.04	11	5.37				
3650	0.208	2.04	11	5.36				
3650	0.208	2.04	11	5.36				
3660	0.207	2.04	11	5.36				
3660	0.207	2.03	11.1	5.36				
3670	0.207	2.03	11.1	5.35				
3680	0.207	2.03	11.1	5.35				
3680	0.206	2.03	11.1	5.35				
3690	0.206	2.02	11.1	5.34				
3690	0.206	2.02	11.1	5.34				
3700	0.206	2.02	11.1	5.34				
3710	0.206	2.02	11.1	5.34				
3710	0.205	2.01	11.1	5.33				
3720	0.205	2.01	11.1	5.33				
3720	0.205	2.01	11.1	5.33				
3730	0.205	2.01	11.1	5.33				
3740	0.204	2.01	11.1	5.32				
3740	0.204	2	11.1	5.32				
3750	0.204	2	11.1	5.32				
3750	0.204	2	11.1	5.32				
3760	0.203	2	11.1	5.31				
3770	0.203	1.99	11.2	5.31				
3770	0.203	1.99	11.2	5.31				
3780	0.203	1.99	11.2	5.31				
3780	0.203	1.99	11.2	5.3				
3790	0.202	1.99	11.2	5.3				
3800	0.202	1.98	11.2	5.3				
3800	0.202	1.98	11.2	5.3				
3810	0.202	1.98	11.2	5.29				
3810	0.201	1.98	11.2	5.29				
3820	0.201	1.98	11.2	5.29				
3830	0.201	1.97	11.2	5.29				
3830	0.201	1.97	11.2	5.28				
3840	0.201	1.97	11.2	5.28				
3840	0.2	1.97	11.2	5.28				
3850	0.2	1.96	11.2	5.28				
3860	0.2	1.96	11.2	5.27				
3860	0.2	1.96	11.2	5.27				
3870	0.199	1.96	11.2	5.27				
3870	0.199	1.96	11.3	5.27				
