"Time [s]"	[A*]	[B*]	PADP
2380	2.9	11.3	2.06e-009
2390	2.89	11.2	2.06e-009
2400	2.89	11.2	2.06e-009
2410	2.89	11.2	2.06e-009
2410	2.88	11.2	2.06e-009
2420	2.88	11.2	2.06e-009
2430	2.87	11.2	2.06e-009
2440	2.87	11.2	2.06e-009
2450	2.86	11.1	2.06e-009
2460	2.86	11.1	2.06e-009
2470	2.85	11.1	2.06e-009
2480	2.85	11	2.06e-009
2490	2.84	11	2.06e-009
2500	2.84	11	2.06e-009
2500	2.84	10.9	2.06e-009
2510	2.83	10.9	2.06e-009
2520	2.83	10.9	2.06e-009
2530	2.82	10.8	2.06e-009
2540	2.82	10.8	2.06e-009
2550	2.81	10.7	2.06e-009
2560	2.81	10.7	2.06e-009
2570	2.8	10.7	2.06e-009
2580	2.8	10.6	2.06e-009
2590	2.79	10.6	2.06e-009
2590	2.79	10.6	2.06e-009
2600	2.78	10.5	2.06e-009
2610	2.78	10.5	2.06e-009
2620	2.78	10.4	2.06e-009
2630	2.77	10.4	2.06e-009
2640	2.77	10.4	2.06e-009
2650	2.76	10.3	2.06e-009
2660	2.76	10.3	2.06e-009
2670	2.75	10.3	2.06e-009
2680	2.75	10.2	2.06e-009
2680	2.74	10.2	2.06e-009
2690	2.74	10.2	2.06e-009
2700	2.73	10.1	2.06e-009
2710	2.73	10.1	2.06e-009
2720	2.72	10	2.06e-009
2730	2.72	10	2.06e-009
2740	2.72	9.97	2.06e-009
2750	2.71	9.94	2.06e-009
2760	2.71	9.9	2.06e-009
2770	2.7	9.87	2.06e-009
2770	2.7	9.83	2.06e-009
2780	2.69	9.8	2.06e-009
2790	2.69	9.76	2.06e-009
2800	2.68	9.73	2.06e-009
2810	2.68	9.69	2.06e-009
2820	2.68	9.66	2.06e-009
2830	2.67	9.63	2.06e-009
2840	2.67	9.59	2.06e-009
2850	2.66	9.56	2.06e-009
2860	2.66	9.53	2.06e-009
2860	2.65	9.49	2.06e-009
2870	2.65	9.46	2.06e-009
2880	2.64	9.43	2.06e-009
2890	2.64	9.4	2.06e-009
2900	2.64	9.37	2.06e-009
2910	2.63	9.34	2.06e-009
2920	2.63	9.31	2.06e-009
2930	2.62	9.28	2.06e-009
2940	2.62	9.25	2.06e-009
2950	2.61	9.22	2.06e-009
2950	2.61	9.19	2.06e-009
2960	2.61	9.16	2.06e-009
2970	2.6	9.13	2.06e-009
2980	2.6	9.1	2.06e-009
2990	2.59	9.07	2.06e-009
3000	2.59	9.04	2.06e-009
3010	2.58	9.01	2.06e-009
3020	2.58	8.98	2.06e-009
3030	2.57	8.95	2.06e-009
3040	2.57	8.93	2.06e-009
3050	2.57	8.9	2.06e-009
3050	2.56	8.87	2.06e-009
3060	2.56	8.84	2.06e-009
3070	2.55	8.82	2.06e-009
3080	2.55	8.79	2.06e-009
3090	2.55	8.76	2.06e-009
3100	2.54	8.74	2.06e-009
3110	2.54	8.71	2.06e-009
3120	2.53	8.68	2.06e-009
3130	2.53	8.66	2.06e-009
3140	2.52	8.63	2.06e-009
3140	2.52	8.61	2.06e-009
3150	2.52	8.58	2.06e-009
3160	2.51	8.56	2.06e-009
3170	2.51	8.53	2.06e-009
3180	2.5	8.51	2.06e-009
3190	2.5	8.48	2.06e-009
3200	2.49	8.46	2.06e-009
3210	2.49	8.43	2.06e-009
3220	2.49	8.41	2.06e-009
3230	2.48	8.38	2.06e-009
3230	2.48	8.36	2.06e-009
3240	2.47	8.34	2.06e-009
3250	2.47	8.31	2.07e-009
3260	2.47	8.29	2.07e-009
3270	2.46	8.27	2.07e-009
3280	2.46	8.24	2.07e-009
3290	2.45	8.22	2.07e-009
3300	2.45	8.2	2.08e-009
3310	2.45	8.18	2.08e-009
3320	2.44	8.15	2.09e-009
3320	2.44	8.13	2.09e-009
3330	2.43	8.11	2.1e-009
3340	2.43	8.09	2.12e-009
3350	2.42	8.07	2.13e-009
3360	2.42	8.05	2.14e-009
3370	2.42	8.03	2.14e-009
3380	2.41	8	2.18e-009
3390	2.41	7.98	2.24e-009
3400	2.4	7.96	2.28e-009
3410	2.4	7.94	2.28e-009
3410	2.4	7.92	2.35e-009
3420	2.39	7.9	2.43e-009
3430	2.39	7.88	2.53e-009
3440	2.38	7.86	2.52e-009
3450	2.38	7.84	2.52e-009
3460	2.38	7.82	2.52e-009
3470	2.37	7.8	2.72e-009
3480	2.37	7.78	3e-009
3490	2.37	7.76	3.55e-009
3500	2.36	7.74	4.04e-009
3500	2.36	7.73	4.18e-009
3510	2.35	7.71	5.44e-009
3520	2.35	7.69	6.54e-009
3530	2.35	7.67	8.75e-009
3540	2.34	7.65	1.01e-008
3550	2.34	7.63	1.36e-008
3560	2.33	7.62	2.31e-008
3570	2.33	7.6	4.44e-008
3580	2.33	7.58	4.38e-008
3590	2.32	7.56	1.16e-007
3590	2.32	7.54	3.27e-007
3600	2.31	7.53	3.19e-007
3610	2.31	7.51	8.46e-007
3620	2.31	7.49	0.00000292
3630	2.3	7.48	0.0000134
3640	2.3	7.46	0.000207
3650	2.3	7.44	0.000275
3660	2.29	7.43	0.00368
3670	2.29	7.41	0.223
3680	2.28	7.39	0.27
3680	2.28	7.38	0.996
3690	2.28	7.36	1
3700	2.27	7.34	1
